OBJECTNUMMER;Detail;Locatie;Knelpuntnummer;Type_knelpunt;Beschrijving_knelpunt;Diersoorten;Type_oplossing;Beschrijving_oplossing;Beheergebied;Geschatte_kosten;Jaar_realisatie;Status;Foto;SELECTIE;FILTER;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
18;"Detail19.jpg";"Ringvaart";"NW80";"Beschoeiing";"De Slotervaart is ter hoogte van de bocht bij het Zwarte Pad voorzien van beschoeiing.";"Amfibieën - Grote zoogdieren - Kleine zoogdieren";"Fauna uittreedplaats (FUP)";"De oever voorzien van een FUP.";"Stadsdeel Nieuw West";"10.000 - 20.000";0;"Op termijn";"Foto19.jpg";"FUP";"OP_TERMIJN";"POINT(4.7910631,52.3419654)";"POINT(52.3419654,4.7910631)";"4,7910631";"52,3419654";
20;"Detail21.jpg";"Christoffel Plantijnpad / Slotervaart";"NW57";"Autoweg";"De groenstroken naast het Christoffel Plantijnpad (fietspad) vormen een goede groene verbinding. Het Plantijnpad wordt echter een aantal keren doorkruist door autowegen, waaronder de Plesmalaan ter hoogte van de Slotervaart.";"Amfibieën - Grote zoogdieren - Kleine zoogdieren";"Faunapassage";"De Plesmalaan voorzien van een Faunapassage. De Slotervaart voorzien van een FUP.";"V&OR, Stadsdeel Nieuw West";"Faunapassage: 25.000 - 50.000 # FUP: 10.000 - 20.000";0;"Op termijn";"Foto21.jpg";"PASSAGE";"OP_TERMIJN";"POINT(4.8205302,52.3513571)";"POINT(52.3513571,4.8205302)";"4,8205302";"52,3513571";
21;"Detail21.jpg";"Christoffel Plantijnpad / Slotervaart";"NW56";"Autoweg";"De groenstroken naast het Christoffel Plantijnpad (fietspad) vormen een goede groene verbinding. Het Plantijnpad wordt echter een aantal keren doorkruist door autowegen, waaronder de Plesmalaan ter hoogte van de Slotervaart.";"Amfibieën - Grote zoogdieren - Kleine zoogdieren";"Fauna uittreedplaats (FUP)";"De Plesmalaan voorzien van een Faunapassage. De Slotervaart voorzien van een FUP.";"V&OR, Stadsdeel Nieuw West";"";2010;"Gerealiseerd";"Foto21.jpg";"FUP";"GEREALISEERD";"POINT(4.819917,52.3515746)";"POINT(52.3515746,4.819917)";"4,819917";"52,3515746";
22;"Detail22.jpg";"Christoffel Plantijnpad / Louwesweg";"NW54";"Autoweg";"De groenstroken naast het Christoffel Plantijnpad (fietspad) vormen een goede groene verbinding. Het Plantijnpad wordt echter een aantal keren doorkruist door autowegen, waaronder de Louwesweg.";"Amfibieën - Grote zoogdieren - Kleine zoogdieren";"Faunapassage";"De Louwesweg voorzien van een Faunapassage. De vaart voorzien van een FUP.";"DIVV, Stadsdeel Nieuw West";"Faunapassage: 25.000 - 50.000 # FUP: 10.000 - 20.000";0;"Op termijn";"Foto22.jpg";"PASSAGE";"OP_TERMIJN";"POINT(4.821706,52.3464896)";"POINT(52.3464896,4.821706)";"4,821706";"52,3464896";
23;"Detail22.jpg";"Christoffel Plantijnpad / Louwesweg";"NW53";"Autoweg";"De groenstroken naast het Christoffel Plantijnpad (fietspad) vormen een goede groene verbinding. Het Plantijnpad wordt echter een aantal keren doorkruist door autowegen, waaronder de Louwesweg.";"Amfibieën - Grote zoogdieren - Kleine zoogdieren";"Fauna uittreedplaats (FUP)";"De Louwesweg voorzien van een Faunapassage. De vaart voorzien van een FUP.";"V&OR, Stadsdeel Nieuw West";"Faunapassage: 25.000 - 50.000 # FUP: 10.000 - 20.000";0;"Op termijn";"Foto22.jpg";"FUP";"OP_TERMIJN";"POINT(4.8213088,52.3466002)";"POINT(52.3466002,4.8213088)";"4,8213088";"52,3466002";
24;"Detail23.jpg";"Christoffel Plantijnpad / Sloterweg";"NW52";"Autoweg";"De groenstroken naast het Christoffel Plantijnpad (fietspad) vormen een goede Faunapassage. Het Plantijnpad wordt echter een aantal keren doorkruist door autowegen, waaronder de Sloterweg.";"Amfibieën - Grote zoogdieren - Kleine zoogdieren";"Faunapassage";"De Sloterweg voorzien van een Faunapassage.";"DIVV, Stadsdeel Nieuw West";"25.000 - 50.000";0;"Op termijn";"Foto23.jpg";"PASSAGE";"OP_TERMIJN";"POINT(4.8223522,52.3421218)";"POINT(52.3421218,4.8223522)";"4,8223522";"52,3421218";
25;"";"Oeverlanden / Oude Haagseweg";"NW45";"Autoweg";"";"Amfibieën - Grote zoogdieren - Kleine zoogdieren";"Faunapassage";"Een Faunapassage is aangelegd.";"V&OR, Stadsdeel Nieuw West";"";2013;"Gerealiseerd";"Foto24.jpg";"PASSAGE";"GEREALISEERD";"POINT(4.8212392,52.3371512)";"POINT(52.3371512,4.8212392)";"4,8212392";"52,3371512";
27;"Detail26.jpg";"Johan Huizingalaan";"NW42";"Autoweg";"De Johan Huizingalaan vormt een barrière tussen twee groenstroken.";"Amfibieën - Grote zoogdieren - Kleine zoogdieren";"Faunapassage";"De Johan Huizingalaan voorzien van een Faunapassage.";"DIVV, Stadsdeel Nieuw West";"30.000 – 50.000";0;"Op termijn";"Foto26.jpg";"PASSAGE";"OP_TERMIJN";"POINT(4.834924,52.3456389)";"POINT(52.3456389,4.834924)";"4,834924";"52,3456389";
28;"Detail27.jpg";"A10";"NW35";"Viaduct";"De taluds van de Einsteinweg (A10) vormen een goede Faunapassage. Echter, deze wordt onderbroken door Mondriaanstraat.";"Amfibieën - Kleine zoogdieren";"Faunagoot";"De Einsteinweg (A10) voorzien van een faunagoot.";"RWS";"30.000 - 50.000";0;"Op termijn";"Foto27.jpg";"GOOT";"OP_TERMIJN";"POINT(4.8426058,52.3692633)";"POINT(52.3692633,4.8426058)";"4,8426058";"52,3692633";
29;"Detail28.jpg";"A10";"NW36";"Viaduct";"De taluds van de A10 vormen een goede groenstrook voor fauna, de A10 loopt via een viaduct over de Postjesweg.";"Amfibieën - Kleine zoogdieren";"Faunagoot";"Het viaduct voorzien van faunagoten.";"RWS";"70.000 – 110.000";0;"Op termijn";"Foto28.jpg";"GOOT";"OP_TERMIJN";"POINT(4.8422711,52.3659255)";"POINT(52.3659255,4.8422711)";"4,8422711";"52,3659255";
30;"";"A10";"NW37";"Viaduct";"De taluds van de A10 vormen een goede groenstrook voor fauna, de A10 loopt via een viaduct over de Postjesweg.";"Amfibieën - Kleine zoogdieren";"Faunagoot";"Het viaduct voorzien van faunagoten.";"RWS";"50.000 - 90.000";0;"Op termijn";"NW37 2016.JPG";"GOOT";"OP_TERMIJN";"POINT(4.8423908,52.3614546)";"POINT(52.3614546,4.8423908)";"4,8423908";"52,3614546";
31;"Detail30.jpg";"Amstelveenseweg";"Zu06";"Autoweg";"De Amstelveenseweg loopt door het Gijsbrecht van Aemstelpark";"Boom bewonende zoogdieren";"Eekhoornbrug";"De Amstelveenseweg voorzien van een Faunapassage. De eekhoornbrug wordt in 2012 gerealiseerd.";"DIVV, Stadsdeel Zuid";"";2013;"Gerealiseerd";"foto 1 eekhoornbrug 2.jpg";"BRUG";"GEREALISEERD";"POINT(4.8574779,52.330197)";"POINT(52.330197,4.8574779)";"4,8574779";"52,330197";
32;"Detail30.jpg";"Amstelveenseweg";"Zu05";"Autoweg";"De Amstelveenseweg loopt door het Gijsbrecht van Aemstelpark";"Amfibieën - Kleine zoogdieren";"Faunapassage";"De Amstelveenseweg voorzien van een Faunapassage. De eekhoornbrug wordt in 2012 gerealiseerd.";"Stadsdeel Zuid";"";2018;"In de planning";"Foto30.jpg";"PASSAGE";"INGEPLAND";"POINT(4.857479,52.330383)";"POINT(52.330383,4.857479)";"4,857479";"52,330383";
33;"Faunarichel Van Nijenrodeweg_GT.jpg";"Nijenrodeweg";"Zu17";"Autoweg/brug vormt barriere in de groenstrook en Ecolint langs de oever";"";"Amfibieën - Kleine zoogdieren";"Faunarichel";"De Nijenrodeweg voorzien van een Faunapassage. Alternatief: De duiker voorzien van faunarichels.";"Stadsdeel Zuid";"";2016;"Gerealiseerd";"";"RICHEL";"GEREALISEERD";"POINT(4.86221,52.327702)";"POINT(52.327702,4.86221)";"4,86221";"52,327702";
34;"Faunageleidwand De Cuserstraat.JPG";"De Cluserstraat";"Zu19";"Autoweg/brug vormt barriere in de groenstrook en Ecolint langs de oever";"";"Amfibieën - Kleine zoogdieren";"Faunarichel";"De Cuserstraat voorzien van een faunarichel ";"Stadsdeel Zuid";"";2016;"Gerealiseerd";"De Cuserstraat.jpg";"RICHEL";"GEREALISEERD";"POINT(4.86212,52.323601)";"POINT(52.323601,4.86212)";"4,86212";"52,323601";
35;"Detail33.jpg";"Buitenveldertselaan";"Zu09";"Autoweg";"De Buitenveldertseweg loopt door het Gijsbrecht van Aemstelpark";"Boom bewonende zoogdieren";"Eekhoornbrug";"De Buitenveldertselaan voorzien van een Faunapassage. De eekhoornbrug wordt in 2012 gerealiseerd.";"DIVV, Stadsdeel Zuid";"";2013;"Gerealiseerd";"foto 1 eekhoornbrug 2.jpg";"BRUG";"GEREALISEERD";"POINT(4.8688619,52.3289229)";"POINT(52.3289229,4.8688619)";"4,8688619";"52,3289229";
36;"Detail33.jpg";"Buitenveldertselaan";"Zu08";"Autoweg";"De Buitenveldertseweg loopt door het Gijsbrecht van Aemstelpark";"Amfibieën - Kleine zoogdieren";"Faunapassage";"De Buitenveldertselaan voorzien van een Faunapassage. De eekhoornbrug wordt in 2012 gerealiseerd.";"Stadsdeel Zuid";"";2016;"Gerealiseerd";"Foto33.jpg";"PASSAGE";"GEREALISEERD";"POINT(4.8688848,52.3291785)";"POINT(52.3291785,4.8688848)";"4,8688848";"52,3291785";
37;"Detail34.jpg";"Van Lijenberghlaan";"Zu11";"Autoweg";"De Van Lijenberghlaan loopt door het Gijsbrecht van Aemstelpark";"Boom bewonende zoogdieren";"Eekhoornbrug";"De Van Lijenberghlaan voorzien van een Faunapassage. De eekhoornbrug wordt in 2012 gerealiseerd.";"Stadsdeel Zuid";"";2013;"Gerealiseerd";"foto 1 eekhoornbrug 2.jpg";"BRUG";"GEREALISEERD";"POINT(4.8795049,52.3291937)";"POINT(52.3291937,4.8795049)";"4,8795049";"52,3291937";
38;"Detail34.jpg";"Van Lijenberghlaan";"Zu10";"Autoweg";"De Van Lijenberghlaan loopt door het Gijsbrecht van Aemstelpark";"Amfibieën - Kleine zoogdieren";"Faunapassage";"De Van Lijenberghlaan voorzien van een Faunapassage. De eekhoornbrug wordt in 2012 gerealiseerd.";"Stadsdeel Zuid";"";2017;"Gerealiseerd";"Foto34.jpg";"PASSAGE";"GEREALISEERD";"POINT(4.879478,52.329369)";"POINT(52.329369,4.879478)";"4,879478";"52,329369";
39;"Detail35.jpg";"Beatrixpark";"Zu02";"A10";"Spoorlijn en A10";"Amfibieën - Grote zoogdieren - Kleine zoogdieren";"Onderdoorgang";"De onderdoorgang voorzien van stortsteen.";"Projectburo Zuidas";"";2020;"In de planning";"Foto35.jpg";"ONDER";"INGEPLAND";"POINT(4.876809,52.3388179)";"POINT(52.3388179,4.876809)";"4,876809";"52,3388179";
40;"Detail36.jpg";"Spoorlijn / Amsterdamseweg";"Av01";"Autoweg";"Een oude spoorlijn vormt een goede groenstrook waar fauna een weg langs kan vinden. Deze wordt onderbroken door de Amsterdamseweg.";"Amfibieën - Grote zoogdieren - Kleine zoogdieren - Reptielen";"Faunapassage";"De Amsterdamse weg voorzien van een Faunapassage.";"Amstelveen";"30.000 – 50.000";0;"Op termijn";"Foto36.jpg";"PASSAGE";"OP_TERMIJN";"POINT(4.855355,52.3154189)";"POINT(52.3154189,4.855355)";"4,855355";"52,3154189";
41;"Detail37.jpg";"Spoorlijn / Karselaan";"Av02";"Autoweg";"Een oude spoorlijn vormt een goede groenstrook waar fauna een weg langs kan vinden. Deze wordt onderbroken door de Nieuwe Karselaan (een fietspad).";"Amfibieën - Grote zoogdieren - Kleine zoogdieren - Reptielen";"Faunapassage";"De Karselaan voorzien van een Faunapassage.";"Amstelveen";"10.000 – 20.000";0;"Op termijn";"Foto37.jpg";"PASSAGE";"OP_TERMIJN";"POINT(4.8505728,52.3114173)";"POINT(52.3114173,4.8505728)";"4,8505728";"52,3114173";
42;"Detail38.jpg";"Spoorlijn / Molenweg";"Av03";"Autoweg";"Een oude spoorlijn vormt een goede groenstrook waar fauna een weg langs kan vinden. Deze wordt onderbroken door de Molenweg.";"Amfibieën - Grote zoogdieren - Kleine zoogdieren - Reptielen";"Faunapassage";"De Molenweg voorzien van een Faunapassage.";"Amstelveen";"20.000 - 50.000";0;"Op termijn";"Foto38.jpg";"PASSAGE";"OP_TERMIJN";"POINT(4.8504398,52.3082091)";"POINT(52.3082091,4.8504398)";"4,8504398";"52,3082091";
43;"Detail39.jpg";"Spoorlijn / A9";"Av04";"A9";"Een oude spoorlijn met fietspad loopt over de A9 via een viaduct. De bermen van de A9 lopen onder dit viaduct door.";"Amfibieën - Grote zoogdieren - Kleine zoogdieren - Reptielen";"Onderdoorgang";"De zuidelijke berm van de onderdoorgang voorzien van stortsteen.";"Amstelveen";"5.000 – 10.000";0;"Op termijn";"Foto39.jpg";"ONDER";"OP_TERMIJN";"POINT(4.849952,52.3034712)";"POINT(52.3034712,4.849952)";"4,849952";"52,3034712";
44;"Detail40.jpg";"Spoorlijn / Stationstraat";"Av05";"Autoweg";"Een oude spoorlijn vormt een goede groenstrook waar fauna een weg langs kan vinden. Deze wordt onderbroken door de Stationsstraat.";"Amfibieën - Grote zoogdieren - Kleine zoogdieren - Reptielen";"Faunapassage";"De Noordammerlaan voorzien van een Faunapassage.";"Amstelveen";"10.000 – 20.000";0;"Op termijn";"Foto40.jpg";"PASSAGE";"OP_TERMIJN";"POINT(4.8478401,52.3013655)";"POINT(52.3013655,4.8478401)";"4,8478401";"52,3013655";
45;"Detail41.jpg";"Spoorlijn / Noordammerlaan";"Av07";"Autoweg";"Een oude spoorlijn vorm een goede groenstrook waarlangs fauna een weg kan vinden. Deze wordt onderbroken door de Noorddammerlaan.";"Amfibieën - Grote zoogdieren - Kleine zoogdieren - Reptielen";"Faunapassage";"De Noordammerlaan voorzien van een Faunapassage.";"Amstelveen";"10.000 - 30.000";0;"Op termijn";"Foto41.jpg";"PASSAGE";"OP_TERMIJN";"POINT(4.8401468,52.2922255)";"POINT(52.2922255,4.8401468)";"4,8401468";"52,2922255";
46;"Detail42.jpg";"Bosrandweg";"Av14";"Autoweg";"De Bosrandweg vormt een barrière tussen het Amsterdamse Bos en het Schenkelbos.";"Amfibieën - Grote zoogdieren - Kleine zoogdieren - Reptielen";"Faunapassage";"De Bosrandweg voorzien van een Faunapassage. (Dit is een reeds aangelegde duiker die gedeeltelijk onder water staat en dus niet functioneert. Zie knelpunt 134).";"Aalsmeer, Noord Holland";"";2019;"In de planning";"Foto42.jpg";"PASSAGE";"INGEPLAND";"POINT(4.812892,52.301881)";"POINT(52.301881,4.812892)";"4,812892";"52,301881";
47;"Detail45.jpg";"Kamperfoelieweg / Buiksloterbreek";"N021";"Autoweg";"De Kamperfoelieweg loopt via een viaduct over een sloot.";"Amfibieën - Grote zoogdieren - Kleine zoogdieren";"Faunapassage";"De Kamperfoelieweg voorzien van een Faunapassage. De Buiksloterbreek voorzien van een FUP. Een alternatief is om een onderdoorgang te maken bij het viaduct (stortsteen).";"";"40.000 - 80.000";0;"Op termijn";"Foto45.jpg";"PASSAGE";"OP_TERMIJN";"POINT(4.9156439,52.401303)";"POINT(52.401303,4.9156439)";"4,9156439";"52,401303";
48;"Detail45.jpg";"Kamperfoelieweg / Buiksloterbreek";"N020";"Autoweg";"De Kamperfoelieweg loopt via een viaduct over een sloot.";"Amfibieën - Grote zoogdieren - Kleine zoogdieren";"Fauna uittreedplaats (FUP)";"De Kamperfoelieweg voorzien van een Faunapassage. De Buiksloterbreek voorzien van een FUP. Een alternatief is om een onderdoorgang te maken bij het viaduct (stortsteen).";"";"40.000 - 80.000";0;"Op termijn";"Foto45.jpg";"FUP";"OP_TERMIJN";"POINT(4.9158051,52.4013144)";"POINT(52.4013144,4.9158051)";"4,9158051";"52,4013144";
49;"Detail46.jpg";"Noord Hollandschkanaal";"N019";"Beschoeiing";"De beschoeiing aangelegd in het Noord Hollandschkanaal maakt het erg moeilijk voor fauna om het kanaal uit te komen.";"Grote zoogdieren - Kleine zoogdieren";"Fauna uittreedplaats (FUP)";"oostoever is inmiddels voorzien van een FUP de westoever moet nog aangepakt worden";"Noord-Holland, Stadsdeel Noord";"50.000 - 100.000";0;"Op termijn";"Foto46.jpg";"FUP";"OP_TERMIJN";"POINT(4.9248002,52.4057166)";"POINT(52.4057166,4.9248002)";"4,9248002";"52,4057166";
51;"Detail48.jpg";"Vliegenbos / Noorderpark v";"N024";"Autoweg";"Een autoweg scheidt het Vliegenbos van het Noorderpark.";"Amfibieën - Grote zoogdieren - Kleine zoogdieren";"Faunapassage";"De Meeuwenlaan voorzien van vier Faunapassages. (7+9+10+11 meter )";"Stadsdeel Noord";"30.000 - 60.000";0;"Op termijn";"Foto48.jpg";"PASSAGE";"OP_TERMIJN";"POINT(4.924742,52.3906867)";"POINT(52.3906867,4.924742)";"4,924742";"52,3906867";
52;"Detail52.jpg";"Zeeburgereiland";"O001";"Oever";"Onderdeel van de EVZ Gooi-waterland";"Amfibieën - Kleine zoogdieren - Reptielen - Vleermuizen";"Rietland";"Het gebied voorzien van rietland.";"RWS, NOF-I";"80.000 - 150.000";0;"Op termijn";"";"RIET";"OP_TERMIJN";"POINT(4.9562294,52.3795484)";"POINT(52.3795484,4.9562294)";"4,9562294";"52,3795484";
53;"Detail53.jpg";"Oranjesluizen";"N033";"Sluizen";"-";"Vissen";"Vispassage";"Een vispassage is gerealiseerd.";"";"";2005;"Gerealiseerd";"Foto53.jpg";"VIS";"GEREALISEERD";"POINT(4.9613101,52.3821761)";"POINT(52.3821761,4.9613101)";"4,9613101";"52,3821761";
54;"Detail54.jpg";"Schellingwouderdijk";"N036";"A10";"De A10 loopt via een viaduct over de Schellingwouderdijk. ";"Amfibieën - Grote zoogdieren - Kleine zoogdieren - Reptielen";"Onderdoorgang";"Stortsteen in 2013 aangebracht onder de A10 langs de Schellingwouderdijk.";"RWS, Stadsdeel Noord";"";2013;"Gerealiseerd";"Foto54.jpg";"ONDER";"GEREALISEERD";"POINT(4.9734828,52.3798873)";"POINT(52.3798873,4.9734828)";"4,9734828";"52,3798873";
55;"Detail55.jpg";"Weespertrekvaart";"O024";"Beschoeiing";"Beschoeiing maakt het voor fauna erg lastig om de Weespertrekvaart uit te komen.";"Amfibieën - Grote zoogdieren - Kleine zoogdieren - Reptielen";"Fauna uittreedplaats (FUP)";"FUP";"AGV";"";2015;"Gerealiseerd";"";"FUP";"GEREALISEERD";"POINT(4.9204218,52.343022)";"POINT(52.343022,4.9204218)";"4,9204218";"52,343022";
56;"Detail56.jpg";"Weespertrekvaart";"O025";"Beschoeiing";"Beschoeiing maakt het voor fauna erg lastig om de Weespertrekvaart uit te komen.";"Amfibieën - Grote zoogdieren - Kleine zoogdieren - Reptielen";"Fauna uittreedplaats (FUP)";"Wordt gerealiseerd";"";"";2014;"Gerealiseerd";"FUP Weespertrekvaart.JPG";"FUP";"GEREALISEERD";"POINT(4.9256351,52.3407942)";"POINT(52.3407942,4.9256351)";"4,9256351";"52,3407942";
57;"Detail57.jpg";"Gooiseweg / Rozenburglaan";"O023";"Autoweg";"De Gooiseweg vormt een barrière tussen Sportpark Drieburg en de Nieuwe Oosterbegraafplaats.";"Amfibieën - Grote zoogdieren - Kleine zoogdieren - Reptielen";"Faunapassage";"De Rozenburglaan is voorzien van een Faunapassage. Het viaduct onder de Gooiseweg is voorzien van stortsteen.";"Stadsdeel Oost, DIVV";"";2015;"Gerealiseerd";"ecopassage.JPG";"PASSAGE";"GEREALISEERD";"POINT(4.9331379,52.3432104)";"POINT(52.3432104,4.9331379)";"4,9331379";"52,3432104";
58;"Detail58.jpg";"Spoorlijn";"O018";"A10";"Er gaan spoorlijnen via een viaduct over de Ringweg Oost (A10).";"Amfibieën - Grote zoogdieren - Kleine zoogdieren - Reptielen";"Faunagoot";"Is gerealiseerd.";"ProRail";"";2002;"Gerealiseerd";"";"GOOT";"GEREALISEERD";"POINT(4.9597261,52.3479735)";"POINT(52.3479735,4.9597261)";"4,9597261";"52,3479735";
59;"Detail59.jpg";"Bovendiep";"O003";"Woonschepen";"Tussen de Zuiderzeeweg en de Zuider IJdijk liggen veel woonschepen.";"Amfibieën - Kleine zoogdieren - Reptielen - Vleermuizen";"Rietland";"Het bestaande rietland uitbreiden.";"Stadsdeel Oost, AGV, Onderdeel van de EGZ Gooi-Waterland";"100.000 - 150.000";0;"Op termijn";"Foto59.jpg";"RIET";"OP_TERMIJN";"POINT(4.9580858,52.3682791)";"POINT(52.3682791,4.9580858)";"4,9580858";"52,3682791";
60;"Detail60.jpg";"Amsterdam Rijnkanaal thv De Diemen";"Di01";"Beschoeiing";"Beschoeiing maakt het voor fauna erg moeilijk om het Amsterdams Rijnkanaal uit te komen.";"Vissen";"Fauna uittreedplaats (FUP)";"Het ARK thv de Kanaaldijk voorzien van een FUP. De walkant van het ARK aan het Diemerpark voldoet.";"RWS, Gemeente Diemen";"";2013;"Gerealiseerd";"Foto60.jpg";"FUP";"GEREALISEERD";"POINT(4.9879448,52.3469931)";"POINT(52.3469931,4.9879448)";"4,9879448";"52,3469931";
61;"Detail61.jpg";"Amsterdam Rijnkanaal / Oostelijke Ontsluitingsweg Ijburg";"Di03";"Beschoeiing";"De beschoeiing in het Amsterdams Rijnkanaal maakt het erg moeilijk voor fauna om uit het kanaal te komen.";"Grote zoogdieren - Kleine zoogdieren - Reptielen";"Fauna uittreedplaats (FUP)";"Het ARK aan de Kanaaldijk voorzien van een FUP. ";"RWS, Gemeente Diemen";"";2013;"Gerealiseerd";"";"FUP";"GEREALISEERD";"POINT(5.0076082,52.3366248)";"POINT(52.3366248,5.0076082)";"5,0076082";"52,3366248";
62;"Detail62.jpg";"Amsterdam Rijnkanaal / Oostelijke Ontsluitingsweg Ijburg";"Di04";"Beschoeiing";"De beschoeiing in het Amsterdams Rijnkanaal maakt het erg moeilijk voor fauna om uit het kanaal te komen.";"Grote zoogdieren - Kleine zoogdieren - Reptielen";"Fauna uittreedplaats (FUP)";"Het ARK voorzien van een FUP. ";"RWS, Projectbureau IJburg";"";2013;"Gerealiseerd";"";"FUP";"GEREALISEERD";"POINT(5.0091698,52.3373648)";"POINT(52.3373648,5.0091698)";"5,0091698";"52,3373648";
